player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,goals_right_foot,goals_left_foot,goals_headers,goals_penalties,goals_inside_area,goals_outside_area,total_attempts,shots_on_target,shots_off_target,shots_blocked,corner_taken,offsides,dribbles,tackles,tackles_won,tackles_lost,balls_recovered,pass_attempted,pass_completed,pass_accuracy,cross_accuracy,fouls_committed,fouls_suffered,red_cards,yellow_cards,gk_saved,gk_conceded,gk_clean_sheets,gk_saved_penalties,gk_punches,goals_per_90,assists_per_90,ga_per_90,fouls_per_90,save_rate,pass_completion_pct,pots_score
Courtois,Real Madrid,Goalkeeper,302.0,13,0.0,0.0,64.2,,,,,,,,,,,,,,,,,,483.0,365.0,76.7,0.0,,,,,13.0,14.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.481,75.57,14.09
Vinícius Júnior,Real Madrid,Forward,302.0,13,4.0,6.0,133.0,3.0,1.0,0.0,0.0,4.0,0.0,27.0,8.0,10.0,9.0,3.0,4.0,83.0,11.0,3.0,8.0,29.0,451.0,377.0,83.1,31.0,13.0,24.0,1.0,0.0,,,,,,1.192,1.788,2.98,3.874,,83.59,35.91
Benzema,Real Madrid,Forward,1106.0,12,15.0,1.0,121.5,11.0,1.0,3.0,3.0,13.0,2.0,45.0,23.0,13.0,9.0,2.0,9.0,18.0,1.0,1.0,0.0,6.0,523.0,433.0,83.1,20.0,2.0,4.0,1.0,0.0,,,,,,1.221,0.081,1.302,0.163,,82.79,51.56
Modrić,Real Madrid,Midfielder,1077.0,13,0.0,4.0,124.5,,,,,,,14.0,5.0,3.0,6.0,10.0,0.0,8.0,9.0,3.0,6.0,39.0,799.0,723.0,89.8,25.0,3.0,8.0,1.0,0.0,,,,,,0.0,0.334,0.334,0.251,,90.49,25.73
Éder Militão,Real Madrid,Defender,1076.0,12,0.0,0.0,110.4,,,,,,,9.0,4.0,1.0,0.0,,,,19.0,6.0,13.0,76.0,643.0,563.0,87.5,0.0,17.0,16.0,4.0,0.0,,,,,,0.0,0.0,0.0,1.422,,87.56,20.39
Alaba,Real Madrid,Defender,1040.0,12,1.0,0.0,112.3,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,,,,18.0,12.0,6.0,49.0,657.0,606.0,92.3,11.0,9.0,1.0,1.0,0.0,,,,,,0.087,0.0,0.087,0.779,,92.24,23.66
Carvajal,Real Madrid,Defender,959.0,11,0.0,1.0,112.8,,,,,,,5.0,2.0,3.0,0.0,0.0,1.0,9.0,12.0,6.0,6.0,50.0,576.0,503.0,87.3,34.0,15.0,6.0,3.0,0.0,,,,,,0.0,0.094,0.094,1.408,,87.33,21.61
Casemiro,Real Madrid,Midfielder,914.0,11,0.0,0.0,107.6,,,,,,,10.0,2.0,6.0,2.0,,,,31.0,13.0,18.0,76.0,538.0,482.0,89.1,25.0,17.0,18.0,3.0,0.0,,,,,,0.0,0.0,0.0,1.674,,89.59,20.97
Kroos,Real Madrid,Midfielder,902.0,12,2.0,0.0,34.55,1.0,1.0,0.0,0.0,0.0,2.0,12.0,7.0,1.0,4.0,,,,11.0,5.0,6.0,37.0,814.0,752.0,91.9,20.0,7.0,18.0,0.0,0.0,,,,,,0.2,0.0,0.2,0.698,,92.38,17.145
Mendy,Real Madrid,Defender,867.0,10,0.0,0.0,96.3,,,,,,,2.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,5.0,1.0,36.0,413.0,376.0,91.1,25.0,7.0,7.0,3.0,0.0,,,,,,0.0,0.0,0.0,0.727,,91.04,19.24
Valverde,Real Madrid,Midfielder,804.0,11,0.0,1.0,96.7,,,,,,,9.0,0.0,4.0,5.0,0.0,3.0,10.0,13.0,7.0,6.0,29.0,395.0,336.0,85.4,20.0,4.0,5.0,2.0,0.0,,,,,,0.0,0.112,0.112,0.448,,85.06,19.91
Nacho,Real Madrid,Defender,574.0,9,0.0,0.0,61.9,,,,,,,1.0,0.0,1.0,0.0,,,,10.0,4.0,6.0,27.0,304.0,283.0,91.0,16.0,7.0,7.0,2.0,0.0,,,,,,0.0,0.0,0.0,1.098,,93.09,15.69
Rodrygo,Real Madrid,Forward,505.0,11,5.0,2.0,65.7,2.0,2.0,1.0,0.0,5.0,0.0,23.0,10.0,7.0,6.0,1.0,1.0,20.0,2.0,1.0,1.0,14.0,209.0,183.0,77.6,38.0,5.0,11.0,1.0,0.0,,,,,,0.891,0.356,1.248,0.891,,87.56,26.43
Lucas Vázquez,Real Madrid,Midfielder,349.0,8,0.0,1.0,47.4,,,,,,,,,,,0.0,0.0,6.0,2.0,0.0,2.0,13.0,239.0,207.0,83.6,25.0,4.0,8.0,1.0,0.0,,,,,,0.0,0.258,0.258,1.032,,86.61,14.1
