player_name,club,position,minutes_played,goals,assists,perf_score
Felipe,Atlético,Defender,472.0,0.0,0.0,-1.0731142458790706
Guilavogui,Wolfsburg,Midfielder,429.0,0.0,0.0,-0.9611957656460774
Eric García,Barcelona,Defender,247.0,0.0,0.0,-0.8900991397389942
Brooks,Wolfsburg,Defender,331.0,0.0,0.0,-0.8378751910700342
Balanta,Club Brugge,Midfielder,407.0,0.0,0.0,-0.7905853924006861
Weghorst,Wolfsburg,Forward,398.0,0.0,0.0,-0.7661382329734242
Wendell,Porto,Defender,131.0,0.0,0.0,-0.6714949412973109
Chistiakov,Zenit,Defender,444.0,0.0,0.0,-0.6423727162180852
Mbemba,Porto,Defender,450.0,0.0,0.0,-0.610461342008547
Larsson,Malmö,Defender,275.0,0.0,0.0,-0.596331090299969
Adams,Leipzig,Midfielder,292.0,0.0,0.0,-0.574003205991408
Giroud,Milan,Forward,261.0,0.0,0.0,-0.5496314159368245
Gavi,Barcelona,Midfielder,398.0,0.0,0.0,-0.5423430376605325
Capaldo,Salzburg,Midfielder,281.0,0.0,0.0,-0.5418011060718841
Marcos Llorente,Atlético,Midfielder,700.0,0.0,0.0,-0.541032557782451
J. Timber,Ajax,Midfielder,570.0,0.0,0.0,-0.5332023356619671
Roussillon,Wolfsburg,Defender,362.0,0.0,0.0,-0.5325090930164846
Ahmedhodžić,Malmö,Defender,413.0,0.0,0.0,-0.5276464085736082
Upamecano,Bayern,Defender,660.0,0.0,0.0,-0.5242313766753947
Lamela,Sevilla,Midfielder,119.0,0.0,0.0,-0.5198783430834226
Matić,Man. United,Midfielder,194.0,0.0,0.0,-0.5156660235759423
Herrera,Atlético,Midfielder,226.0,0.0,0.0,-0.5137893168508363
Rüdiger,Chelsea,Defender,840.0,1.0,0.0,-0.5129629700185503
Bamba,LOSC,Forward,468.0,0.0,0.0,-0.5081287805722202
Paredes,Paris,Midfielder,315.0,0.0,0.0,-0.50302834126884
Daniel Bragança,Sporting CP,Midfielder,131.0,0.0,0.0,-0.502914263593957
De Roon,Atalanta,Midfielder,484.0,0.0,0.0,-0.4969097651639349
Mario Gaspar,Villarreal,Defender,93.0,0.0,0.0,-0.4927507698423318
Kessié,Milan,Midfielder,321.0,0.0,1.0,-0.4913706377584649
Hummels,Dortmund,Defender,358.0,0.0,0.0,-0.4890653682406307
Suso,Sevilla,Forward,228.0,0.0,0.0,-0.4880560001547992
Rakip,Malmö,Midfielder,273.0,0.0,0.0,-0.4879030113378679
Zagadou,Dortmund,Defender,97.0,0.0,0.0,-0.4869517455350695
Slimani,Sporting CP,Forward,104.0,0.0,0.0,-0.4865651439145854
Vida,Beşiktaş,Defender,180.0,0.0,0.0,-0.48493045728732576
Vrsaljko,Atlético,Defender,304.0,0.0,0.0,-0.4840369951330264
Jordán,Sevilla,Midfielder,327.0,1.0,0.0,-0.48179261788812555
Hermoso,Atlético,Defender,425.0,0.0,0.0,-0.4787547409250573
Simakan,Leipzig,Defender,297.0,0.0,0.0,-0.47729502457280304
Lovren,Zenit,Defender,315.0,0.0,0.0,-0.4766192599070434
Dalot,Man. United,Defender,233.0,0.0,0.0,-0.475144406726299
Rekik,Sevilla,Defender,125.0,0.0,0.0,-0.4736862803896853
Danilo,Paris,Midfielder,362.0,0.0,0.0,-0.47319614670000093
Čolak,Malmö,Forward,500.0,0.0,0.0,-0.47302117642499575
Delaney,Sevilla,Midfielder,200.0,0.0,0.0,-0.4681048658265065
Sarr,Bayern,Defender,125.0,0.0,0.0,-0.4651810447390341
Jović,Real Madrid,Forward,113.0,0.0,0.0,-0.4579238940951583
Sabitzer,Bayern,Midfielder,133.0,0.0,0.0,-0.4562892074678987
Koundé,Sevilla,Defender,450.0,0.0,0.0,-0.45579684772236884
Lacroix,Wolfsburg,Defender,540.0,0.0,0.0,-0.4539079540092797
Verbič,Dynamo Kyiv,Midfielder,91.0,0.0,0.0,-0.45226945131053375
Bozdoğan,Beşiktaş,Midfielder,219.0,0.0,0.0,-0.44936310820278436
Bornauw,Wolfsburg,Defender,204.0,0.0,0.0,-0.4458509637148268
Waldschmidt,Wolfsburg,Forward,119.0,0.0,0.0,-0.44504503057025824
Marcos Antônio,Shakhtar Donetsk,Midfielder,256.0,0.0,0.0,-0.4446165406162881
Fassnacht,Young Boys,Midfielder,269.0,0.0,0.0,-0.4444255672818135
Ibrahimović,Milan,Forward,160.0,0.0,0.0,-0.4443928373782132
Vitão,Shakhtar Donetsk,Defender,90.0,0.0,0.0,-0.44230608932326887
Ulmer,Salzburg,Defender,716.0,0.0,0.0,-0.4332978092102889
Tigges,Dortmund,Forward,100.0,0.0,0.0,-0.4307004722944996
Vitinha,Porto,Midfielder,218.0,0.0,0.0,-0.42979857549497574
Solomon,Shakhtar Donetsk,Midfielder,322.0,0.0,0.0,-0.42908860600536247
Varane,Man. United,Defender,353.0,0.0,0.0,-0.4289942323660479
Taarabt,Benfica,Midfielder,343.0,0.0,0.0,-0.42870423044072387
Hutchinson,Beşiktaş,Midfielder,156.0,0.0,0.0,-0.42842116088943993
Nianzou,Bayern,Midfielder,212.0,0.0,0.0,-0.42654445416433395
D'Ambrosio,Inter,Defender,147.0,0.0,0.0,-0.4262461326891728
Alex Telles,Man. United,Defender,293.0,,0.0,-0.4229607563751843
Alonso,Chelsea,Defender,548.0,0.0,0.0,-0.42106281932759665
Tymchyk,Dynamo Kyiv,Defender,160.0,0.0,0.0,-0.42030252685927283
Mbabu,Wolfsburg,Defender,328.0,0.0,0.0,-0.4201898363601868
Abubakari,Malmö,Forward,116.0,0.0,0.0,-0.4184738019616445
Álvarez,Ajax,Midfielder,558.0,0.0,0.0,-0.41532523591620507
Batshuayi,Beşiktaş,Forward,383.0,0.0,0.0,-0.41486728383437244
Brorsson,Malmö,Defender,448.0,0.0,0.0,-0.41053395427796896
Zaidu,Porto,Defender,389.0,0.0,0.0,-0.41047008448640915
Xeka,LOSC,Midfielder,435.0,0.0,0.0,-0.4098246208285605
Matheus Cunha,Atlético,Forward,142.0,0.0,,-0.4068757533471201
Jesús Navas,Sevilla,Defender,332.0,0.0,0.0,-0.4065713383779674
Alex Teixeira,Beşiktaş,Midfielder,184.0,0.0,0.0,-0.4042981204668994
Meite,Benfica,Midfielder,155.0,0.0,0.0,-0.4023803642883561
Mingueza,Barcelona,Defender,219.0,0.0,0.0,-0.3991764508410374
Kimpembe,Paris,Defender,630.0,0.0,0.0,-0.3942722758638717
Coquelin,Villarreal,Midfielder,463.0,1.0,0.0,-0.39157447816620666
