player_name,club,position,minutes_played,goals,assists,g_plus_a_per90,pots_score
Lewandowski,Bayern,Forward,876.0,13.0,3.0,1.6438356164383563,2.877995761239945
Benzema,Real Madrid,Forward,1106.0,15.0,1.0,1.301989150090416,2.865553710140543
Sané,Bayern,Midfielder,798.0,6.0,6.0,1.3533834586466165,2.857244856389845
Salah,Liverpool,Forward,1008.0,8.0,2.0,0.8928571428571429,2.6104476087815414
Pedro Gonçalves,Sporting CP,Midfielder,329.0,4.0,2.0,1.6413373860182372,2.5861920780805026
Mbappé,Paris,Forward,673.0,6.0,4.0,1.337295690936107,2.220800463450984
Rodrygo,Real Madrid,Forward,505.0,5.0,2.0,1.2475247524752475,2.1495977241281
Mahrez,Man. City,Midfielder,986.0,7.0,2.0,0.821501014198783,2.03184766617171
Antony,Ajax,Forward,577.0,2.0,5.0,1.0918544194107451,2.0176669341843554
Firmino,Liverpool,Midfielder,323.0,5.0,0.0,1.393188854489164,2.0138248015365443
Danjuma,Villarreal,Midfielder,906.0,6.0,2.0,0.794701986754967,1.8951053071143567
Gnabry,Bayern,Forward,391.0,3.0,2.0,1.1508951406649617,1.8629987667023404
Nkunku,Leipzig,Midfielder,531.0,7.0,0.0,1.1864406779661016,1.849483790803495
Bruno Fernandes,Man. United,Midfielder,520.0,0.0,7.0,1.2115384615384615,1.7629135053216924
Coman,Bayern,Forward,632.0,2.0,3.0,0.7120253164556962,1.6805946302030614
Zapata,Atalanta,Forward,464.0,3.0,3.0,1.1637931034482758,1.6775048832638675
André Silva,Leipzig,Forward,410.0,3.0,2.0,1.0975609756097562,1.6590853853154812
Jesus,Man. City,Forward,352.0,4.0,1.0,1.278409090909091,1.5613636774394135
Gerard Moreno,Villarreal,Forward,524.0,2.0,4.0,1.0305343511450382,1.522661690640169
Vlachodimos,Benfica,Goalkeeper,900.0,0.0,0.0,0.0,1.409373546515334
