club,players,total_goals,total_assists,avg_minutes,total_conceded,avg_save_rate,avg_pass_acc,total_fouls,total_yellows,total_reds,avg_tackles,avg_balls_rec,total_distance,goals_per_player,assists_per_player,fouls_per_player,weak_attack,weak_defense,weak_passing,weak_discipline,work_rate,weakness_score
Bayern,24,30.0,24.0,412.54,7.0,0.75,87.34,115.0,0.0,12.0,4.84,23.11,1186.1,1.25,1.0,4.79,32.0,28.5,31.0,24.5,19.0,28.699999999999996
Ajax,20,21.0,16.0,395.6,8.0,0.59,85.46,117.0,0.0,15.0,5.94,18.17,928.7,1.05,0.8,5.85,29.0,26.5,25.0,17.0,24.0,25.75
Chelsea,24,21.0,16.0,426.25,10.0,0.56,85.51,134.0,0.0,13.0,4.43,18.32,1050.5,0.88,0.67,5.58,27.0,20.5,26.0,21.5,15.0,23.099999999999998
Inter,22,9.0,6.0,357.59,7.0,0.63,83.48,86.0,2.0,12.0,6.06,17.0,929.0,0.41,0.27,3.91,16.0,28.5,22.0,23.0,26.0,22.650000000000002
Paris,21,15.0,7.0,377.14,11.0,0.72,86.06,67.0,0.0,19.0,6.88,16.75,849.4,0.71,0.33,3.19,25.0,16.0,28.0,7.5,30.0,21.650000000000002
Real Madrid,25,28.0,19.0,482.7,14.0,,85.84,120.0,0.0,25.0,7.9,24.48,1379.4,1.12,0.76,4.8,31.0,9.0,27.0,2.0,32.0,20.799999999999997
Man. City,26,28.0,23.0,469.38,16.0,0.7,89.41,126.0,1.0,21.0,4.9,21.33,1437.8,1.08,0.88,4.85,30.0,5.5,32.0,6.0,20.0,19.650000000000002
Zenit,21,9.0,8.0,282.71,10.0,0.61,83.82,50.0,1.0,9.0,3.53,12.74,602.2,0.43,0.38,2.38,18.0,20.5,23.0,28.0,6.0,19.55
Juventus,28,11.0,6.0,299.14,10.0,0.79,84.74,79.0,0.0,10.0,4.38,16.25,911.2,0.39,0.21,2.82,15.0,20.5,24.0,26.5,14.0,19.5
Sheriff,19,7.0,5.0,348.37,3.0,0.83,74.95,64.0,0.0,13.0,6.2,14.12,681.3,0.37,0.26,3.37,14.0,31.0,3.0,21.5,28.0,19.05
Liverpool,28,28.0,23.0,459.68,14.0,0.52,81.39,146.0,0.0,15.0,5.17,24.08,1481.7,1.0,0.82,5.21,28.0,9.0,18.0,17.0,22.0,18.599999999999998
Barcelona,23,2.0,1.0,258.22,9.0,0.64,86.82,83.0,1.0,13.0,4.45,11.75,702.3,0.09,0.04,3.61,4.0,24.5,30.0,19.5,16.5,18.15
Dortmund,23,10.0,8.0,254.91,11.0,0.56,82.53,64.0,2.0,8.0,2.76,13.8,701.8,0.43,0.35,2.78,18.0,16.0,21.0,31.0,3.0,17.8
Atalanta,21,12.0,11.0,282.86,13.0,0.62,78.76,68.0,0.0,9.0,3.42,14.74,708.4,0.57,0.52,3.24,23.0,12.0,12.0,29.5,5.0,16.35
Porto,21,2.0,3.0,257.05,0.0,1.0,78.82,78.0,2.0,16.0,4.29,13.28,622.2,0.1,0.14,3.71,5.0,32.0,13.0,13.5,13.0,16.349999999999998
LOSC,23,8.0,4.0,360.0,8.0,0.63,77.62,78.0,0.0,24.0,5.06,17.39,945.2,0.35,0.17,3.39,12.5,26.5,10.0,5.0,21.0,16.3
Sevilla,22,5.0,3.0,267.0,5.0,0.74,81.43,77.0,2.0,18.0,2.35,14.32,629.8,0.23,0.14,3.5,8.0,30.0,19.0,9.0,2.0,16.3
Atlético,21,9.0,7.0,448.81,10.0,,76.52,124.0,4.0,23.0,6.26,20.95,1093.8,0.43,0.33,5.9,18.0,20.5,5.0,4.0,29.0,15.85
Leipzig,23,15.0,12.0,258.17,14.0,1.0,77.68,97.0,1.0,13.0,4.45,13.0,687.0,0.65,0.52,4.22,24.0,9.0,11.0,19.5,16.5,15.699999999999998
Man. United,31,11.0,11.0,274.1,10.0,0.71,81.73,80.0,1.0,17.0,3.54,13.21,753.8,0.35,0.35,2.58,12.5,20.5,20.0,10.5,7.0,15.649999999999999
Villarreal,25,20.0,16.0,476.67,16.0,0.72,78.84,115.0,2.0,24.0,5.95,21.0,1381.6,0.8,0.64,4.6,26.0,5.5,14.0,3.0,25.0,15.05
Milan,23,5.0,5.0,287.65,9.0,0.73,80.28,65.0,1.0,17.0,3.79,13.55,679.5,0.22,0.22,2.83,7.0,24.5,17.0,10.5,9.0,14.8
Young Boys,24,7.0,4.0,247.54,12.0,,80.18,86.0,0.0,12.0,4.26,14.58,606.1,0.29,0.17,3.58,11.0,13.5,16.0,24.5,12.0,14.2
Shakhtar Donetsk,25,2.0,2.0,237.6,12.0,0.63,86.33,64.0,0.0,5.0,2.11,10.45,617.6,0.08,0.08,2.56,3.0,13.5,29.0,32.0,1.0,14.049999999999999
Salzburg,21,10.0,6.0,377.14,14.0,0.53,70.25,115.0,0.0,15.0,6.11,19.42,940.6,0.48,0.29,5.48,20.0,9.0,1.0,17.0,27.0,13.299999999999997
Benfica,24,13.0,10.0,412.5,17.0,0.69,77.32,110.0,0.0,19.0,7.58,20.53,1153.8,0.54,0.42,4.58,22.0,3.5,8.0,7.5,31.0,13.1
Sporting CP,27,14.0,9.0,293.33,17.0,0.5,76.66,62.0,0.0,17.0,5.52,13.38,888.9,0.52,0.33,2.3,21.0,3.5,6.0,12.0,23.0,12.05
Dynamo Kyiv,23,1.0,1.0,258.26,11.0,0.77,77.25,54.0,0.0,10.0,3.68,12.47,738.0,0.04,0.04,2.35,1.0,16.0,7.0,26.5,8.0,9.950000000000001
Wolfsburg,21,5.0,4.0,281.33,10.0,0.7,73.07,88.0,2.0,25.0,2.82,14.44,633.9,0.24,0.19,4.19,9.5,20.5,2.0,1.0,4.0,9.9
Club Brugge,21,5.0,5.0,282.86,20.0,0.58,77.47,62.0,0.0,9.0,4.47,17.47,646.1,0.24,0.24,2.95,9.5,1.0,9.0,29.5,18.0,9.700000000000001
Beşiktaş,26,3.0,2.0,226.65,19.0,0.6,79.08,62.0,2.0,16.0,4.17,12.0,659.3,0.12,0.08,2.38,6.0,2.0,15.0,13.5,10.0,7.75
Malmö,21,1.0,1.0,281.19,14.0,0.69,75.09,74.0,1.0,15.0,4.24,12.29,660.0,0.05,0.05,3.52,2.0,9.0,4.0,15.0,11.0,6.699999999999999
